year,mun_code,mun_name,cases,date
2015,310620,Belo Horizonte,645.0,2015-06-04
2015,355030,São Paulo,427.0,2015-06-04
2015,230440,Fortaleza,1722.0,2015-06-04
2015,310620,Belo Horizonte,626.0,2015-06-11
2015,230440,Fortaleza,1525.0,2015-06-11
2015,355030,São Paulo,239.0,2015-06-11
2015,230440,Fortaleza,1457.0,2015-06-18
2015,310620,Belo Horizonte,409.0,2015-06-18
2015,355030,São Paulo,155.0,2015-06-18
2015,230440,Fortaleza,1195.0,2015-06-25
2015,355030,São Paulo,91.0,2015-06-25
2015,310620,Belo Horizonte,258.0,2015-06-25
2015,310620,Belo Horizonte,161.0,2015-07-02
2015,355030,São Paulo,141.0,2015-07-02
2015,230440,Fortaleza,795.0,2015-07-02
2015,355030,São Paulo,88.0,2015-07-09
2015,230440,Fortaleza,702.0,2015-07-09
2015,310620,Belo Horizonte,93.0,2015-07-09
2015,310620,Belo Horizonte,81.0,2015-07-16
2015,355030,São Paulo,77.0,2015-07-16
2015,230440,Fortaleza,514.0,2015-07-16
2015,310620,Belo Horizonte,53.0,2015-07-23
2015,355030,São Paulo,90.0,2015-07-23
2015,230440,Fortaleza,384.0,2015-07-23
2015,230440,Fortaleza,333.0,2015-07-30
2015,355030,São Paulo,61.0,2015-07-30
2015,310620,Belo Horizonte,45.0,2015-07-30
2015,310620,Belo Horizonte,23.0,2015-08-06
2015,230440,Fortaleza,332.0,2015-08-06
2015,355030,São Paulo,42.0,2015-08-06
2015,310620,Belo Horizonte,25.0,2015-08-13
2015,230440,Fortaleza,273.0,2015-08-13
2015,355030,São Paulo,44.0,2015-08-13
2015,230440,Fortaleza,216.0,2015-08-20
2015,310620,Belo Horizonte,9.0,2015-08-20
2015,355030,São Paulo,26.0,2015-08-20
2015,310620,Belo Horizonte,6.0,2015-08-27
2015,230440,Fortaleza,146.0,2015-08-27
2015,355030,São Paulo,28.0,2015-08-27
2015,355030,São Paulo,23.0,2015-09-03
2015,230440,Fortaleza,120.0,2015-09-03
2015,310620,Belo Horizonte,6.0,2015-09-03
2015,310620,Belo Horizonte,12.0,2015-09-10
2015,230440,Fortaleza,103.0,2015-09-10
2015,355030,São Paulo,15.0,2015-09-10
2015,230440,Fortaleza,85.0,2015-09-17
2015,355030,São Paulo,25.0,2015-09-17
2015,310620,Belo Horizonte,14.0,2015-09-17
2015,355030,São Paulo,23.0,2015-09-24
2015,230440,Fortaleza,63.0,2015-09-24
2015,310620,Belo Horizonte,9.0,2015-09-24
2015,310620,Belo Horizonte,11.0,2015-10-01
2015,355030,São Paulo,33.0,2015-10-01
2015,230440,Fortaleza,56.0,2015-10-01
2015,230440,Fortaleza,45.0,2015-10-08
2015,355030,São Paulo,28.0,2015-10-08
2015,310620,Belo Horizonte,10.0,2015-10-08
2015,355030,São Paulo,37.0,2015-10-15
