mun_code,mun_name,date,cases,cases_lag1,cases_lag2,cases_lag3,cases_lag4,cases_lag5,cases_lag6,cases_lag7,cases_lag8,cases_lag9
230440,Fortaleza,2014-09-03,90.0,117.0,113.0,139.0,159.0,188.0,193.0,215.0,225.0,226.0
310620,Belo Horizonte,2014-09-10,9.0,10.0,12.0,15.0,6.0,13.0,15.0,28.0,34.0,36.0
230440,Fortaleza,2014-09-10,95.0,90.0,117.0,113.0,139.0,159.0,188.0,193.0,215.0,225.0
355030,São Paulo,2014-09-10,43.0,29.0,53.0,46.0,59.0,72.0,110.0,113.0,155.0,223.0
310620,Belo Horizonte,2014-09-17,12.0,9.0,10.0,12.0,15.0,6.0,13.0,15.0,28.0,34.0
230440,Fortaleza,2014-09-17,85.0,95.0,90.0,117.0,113.0,139.0,159.0,188.0,193.0,215.0
355030,São Paulo,2014-09-17,42.0,43.0,29.0,53.0,46.0,59.0,72.0,110.0,113.0,155.0
310620,Belo Horizonte,2014-09-24,13.0,12.0,9.0,10.0,12.0,15.0,6.0,13.0,15.0,28.0
355030,São Paulo,2014-09-24,40.0,42.0,43.0,29.0,53.0,46.0,59.0,72.0,110.0,113.0
230440,Fortaleza,2014-09-24,89.0,85.0,95.0,90.0,117.0,113.0,139.0,159.0,188.0,193.0
355030,São Paulo,2014-10-01,37.0,40.0,42.0,43.0,29.0,53.0,46.0,59.0,72.0,110.0
230440,Fortaleza,2014-10-01,53.0,89.0,85.0,95.0,90.0,117.0,113.0,139.0,159.0,188.0
310620,Belo Horizonte,2014-10-01,10.0,13.0,12.0,9.0,10.0,12.0,15.0,6.0,13.0,15.0
355030,São Paulo,2014-10-08,29.0,37.0,40.0,42.0,43.0,29.0,53.0,46.0,59.0,72.0
310620,Belo Horizonte,2014-10-08,14.0,10.0,13.0,12.0,9.0,10.0,12.0,15.0,6.0,13.0
230440,Fortaleza,2014-10-08,72.0,53.0,89.0,85.0,95.0,90.0,117.0,113.0,139.0,159.0
355030,São Paulo,2014-10-15,30.0,29.0,37.0,40.0,42.0,43.0,29.0,53.0,46.0,59.0
230440,Fortaleza,2014-10-15,61.0,72.0,53.0,89.0,85.0,95.0,90.0,117.0,113.0,139.0
310620,Belo Horizonte,2014-10-15,6.0,14.0,10.0,13.0,12.0,9.0,10.0,12.0,15.0,6.0
310620,Belo Horizonte,2014-10-22,7.0,6.0,14.0,10.0,13.0,12.0,9.0,10.0,12.0,15.0
230440,Fortaleza,2014-10-22,49.0,61.0,72.0,53.0,89.0,85.0,95.0,90.0,117.0,113.0
355030,São Paulo,2014-10-22,44.0,30.0,29.0,37.0,40.0,42.0,43.0,29.0,53.0,46.0
355030,São Paulo,2014-10-29,22.0,44.0,30.0,29.0,37.0,40.0,42.0,43.0,29.0,53.0
230440,Fortaleza,2014-10-29,47.0,49.0,61.0,72.0,53.0,89.0,85.0,95.0,90.0,117.0
310620,Belo Horizonte,2014-10-29,11.0,7.0,6.0,14.0,10.0,13.0,12.0,9.0,10.0,12.0
355030,São Paulo,2014-11-05,45.0,22.0,44.0,30.0,29.0,37.0,40.0,42.0,43.0,29.0
310620,Belo Horizonte,2014-11-05,18.0,11.0,7.0,6.0,14.0,10.0,13.0,12.0,9.0,10.0
230440,Fortaleza,2014-11-05,36.0,47.0,49.0,61.0,72.0,53.0,89.0,85.0,95.0,90.0
230440,Fortaleza,2014-11-12,42.0,36.0,47.0,49.0,61.0,72.0,53.0,89.0,85.0,95.0
310620,Belo Horizonte,2014-11-12,19.0,18.0,11.0,7.0,6.0,14.0,10.0,13.0,12.0,9.0
355030,São Paulo,2014-11-12,40.0,45.0,22.0,44.0,30.0,29.0,37.0,40.0,42.0,43.0
355030,São Paulo,2014-11-19,33.0,40.0,45.0,22.0,44.0,30.0,29.0,37.0,40.0,42.0
310620,Belo Horizonte,2014-11-19,16.0,19.0,18.0,11.0,7.0,6.0,14.0,10.0,13.0,12.0
230440,Fortaleza,2014-11-19,40.0,42.0,36.0,47.0,49.0,61.0,72.0,53.0,89.0,85.0
310620,Belo Horizonte,2014-11-26,12.0,16.0,19.0,18.0,11.0,7.0,6.0,14.0,10.0,13.0
230440,Fortaleza,2014-11-26,37.0,40.0,42.0,36.0,47.0,49.0,61.0,72.0,53.0,89.0
355030,São Paulo,2014-11-26,30.0,33.0,40.0,45.0,22.0,44.0,30.0,29.0,37.0,40.0
355030,São Paulo,2014-12-03,45.0,30.0,33.0,40.0,45.0,22.0,44.0,30.0,29.0,37.0
230440,Fortaleza,2014-12-03,38.0,37.0,40.0,42.0,36.0,47.0,49.0,61.0,72.0,53.0
310620,Belo Horizonte,2014-12-03,14.0,12.0,16.0,19.0,18.0,11.0,7.0,6.0,14.0,10.0
355030,São Paulo,2014-12-10,29.0,45.0,30.0,33.0,40.0,45.0,22.0,44.0,30.0,29.0
230440,Fortaleza,2014-12-10,29.0,38.0,37.0,40.0,42.0,36.0,47.0,49.0,61.0,72.0
310620,Belo Horizonte,2014-12-10,23.0,14.0,12.0,16.0,19.0,18.0,11.0,7.0,6.0,14.0
230440,Fortaleza,2014-12-17,33.0,29.0,38.0,37.0,40.0,42.0,36.0,47.0,49.0,61.0
310620,Belo Horizonte,2014-12-17,24.0,23.0,14.0,12.0,16.0,19.0,18.0,11.0,7.0,6.0
355030,São Paulo,2014-12-17,36.0,29.0,45.0,30.0,33.0,40.0,45.0,22.0,44.0,30.0
230440,Fortaleza,2014-12-24,35.0,33.0,29.0,38.0,37.0,40.0,42.0,36.0,47.0,49.0
310620,Belo Horizonte,2014-12-24,18.0,24.0,23.0,14.0,12.0,16.0,19.0,18.0,11.0,7.0
355030,São Paulo,2014-12-24,31.0,36.0,29.0,45.0,30.0,33.0,40.0,45.0,22.0,44.0
230440,Fortaleza,2014-12-31,43.0,35.0,33.0,29.0,38.0,37.0,40.0,42.0,36.0,47.0
310620,Belo Horizonte,2014-12-31,32.0,18.0,24.0,23.0,14.0,12.0,16.0,19.0,18.0,11.0
355030,São Paulo,2014-12-31,36.0,31.0,36.0,29.0,45.0,30.0,33.0,40.0,45.0,22.0
310620,Belo Horizonte,2015-01-07,12.0,32.0,18.0,24.0,23.0,14.0,12.0,16.0,19.0,18.0
230440,Fortaleza,2015-01-07,5.0,43.0,35.0,33.0,29.0,38.0,37.0,40.0,42.0,36.0
355030,São Paulo,2015-01-07,15.0,36.0,31.0,36.0,29.0,45.0,30.0,33.0,40.0,45.0
355030,São Paulo,2015-01-08,175.0,15.0,36.0,31.0,36.0,29.0,45.0,30.0,33.0,40.0
230440,Fortaleza,2015-01-08,58.0,5.0,43.0,35.0,33.0,29.0,38.0,37.0,40.0,42.0
310620,Belo Horizonte,2015-01-08,24.0,12.0,32.0,18.0,24.0,23.0,14.0,12.0,16.0,19.0
355030,São Paulo,2015-01-15,191.0,175.0,15.0,36.0,31.0,36.0,29.0,45.0,30.0,33.0
230440,Fortaleza,2015-01-15,74.0,58.0,5.0,43.0,35.0,33.0,29.0,38.0,37.0,40.0
310620,Belo Horizonte,2015-01-15,33.0,24.0,12.0,32.0,18.0,24.0,23.0,14.0,12.0,16.0
355030,São Paulo,2015-01-22,387.0,191.0,175.0,15.0,36.0,31.0,36.0,29.0,45.0,30.0
230440,Fortaleza,2015-01-22,79.0,74.0,58.0,5.0,43.0,35.0,33.0,29.0,38.0,37.0
310620,Belo Horizonte,2015-01-22,46.0,33.0,24.0,12.0,32.0,18.0,24.0,23.0,14.0,12.0
310620,Belo Horizonte,2015-01-29,49.0,46.0,33.0,24.0,12.0,32.0,18.0,24.0,23.0,14.0
355030,São Paulo,2015-01-29,552.0,387.0,191.0,175.0,15.0,36.0,31.0,36.0,29.0,45.0
230440,Fortaleza,2015-01-29,107.0,79.0,74.0,58.0,5.0,43.0,35.0,33.0,29.0,38.0
230440,Fortaleza,2015-02-05,156.0,107.0,79.0,74.0,58.0,5.0,43.0,35.0,33.0,29.0
310620,Belo Horizonte,2015-02-05,52.0,49.0,46.0,33.0,24.0,12.0,32.0,18.0,24.0,23.0
355030,São Paulo,2015-02-05,1028.0,552.0,387.0,191.0,175.0,15.0,36.0,31.0,36.0,29.0
355030,São Paulo,2015-02-12,1253.0,1028.0,552.0,387.0,191.0,175.0,15.0,36.0,31.0,36.0
230440,Fortaleza,2015-02-12,142.0,156.0,107.0,79.0,74.0,58.0,5.0,43.0,35.0,33.0
310620,Belo Horizonte,2015-02-12,66.0,52.0,49.0,46.0,33.0,24.0,12.0,32.0,18.0,24.0
310620,Belo Horizonte,2015-02-19,90.0,66.0,52.0,49.0,46.0,33.0,24.0,12.0,32.0,18.0
230440,Fortaleza,2015-02-19,160.0,142.0,156.0,107.0,79.0,74.0,58.0,5.0,43.0,35.0
355030,São Paulo,2015-02-19,2101.0,1253.0,1028.0,552.0,387.0,191.0,175.0,15.0,36.0,31.0
310620,Belo Horizonte,2015-02-26,80.0,90.0,66.0,52.0,49.0,46.0,33.0,24.0,12.0,32.0
230440,Fortaleza,2015-02-26,196.0,160.0,142.0,156.0,107.0,79.0,74.0,58.0,5.0,43.0
